Variable,Coef,OR,CI_lo,CI_hi,SE,z,p_value,Model,p_fdr,sig_fdr
"field_Biochemistry, Genetics and Molecular Biology",-0.006591748927341171,0.9934299289916664,0.8776676765329275,1.1244609437081867,0.06321199418421374,-0.10428003438922297,0.9169471217702166,gh_first_D,,
field_Engineering,-0.01719076465202083,0.9829561534597522,0.7780770187659599,1.2417829807604417,0.1192545914328335,-0.14415180535588018,0.8853805971145907,gh_first_D,,
field_Immunology and Microbiology,0.1781901568046208,1.1950525470035451,1.0112809551380741,1.4122194063317148,0.08518997812020937,2.091679804790903,0.03646716824730922,gh_first_D,,
field_Neuroscience,-0.39234422835601945,0.6754715574728869,0.49133101069396484,0.9286241149534101,0.16239438457820746,-2.4159962758260924,0.015692221845543947,gh_first_D,,
field_Other,0.9716620983634504,2.6423326282969084,0.3346956575473667,20.86050882681188,1.0541815017226022,0.9217218256777323,0.3566736930319222,gh_first_D,,
"field_Pharmacology, Toxicology and Pharmaceutics",0.09063671961173109,1.0948711877729966,0.8769546949181642,1.3669382520693578,0.11323299322161887,0.8004444379063397,0.42345334313252747,gh_first_D,,
log_author_count,-0.6169468274119279,0.5395893846812906,0.4971310265580699,0.585673974277129,0.04181368637421777,-14.754662430154351,2.871244262659578e-49,gh_last_D,,
year_centered,-0.042615444552127575,0.9582798309490937,0.9253365265300982,0.992395964144353,0.017848138069551572,-2.3876689202011687,0.01695560874862527,gh_last_D,,
year_centered_sq,0.0020218670449209625,1.0020239123963386,1.0007562891584818,1.0032931412885293,0.0006458488413132737,3.130557671683181,0.0017447473723397635,gh_last_D,,
has_funding_int,-0.36957878841801245,0.6910253372208647,0.5815731706042093,0.8210764196448536,0.08797943659782519,-4.200740567451511,2.6604331036498806e-05,gh_last_D,,
is_oa_int,0.3078676852346757,1.3605209600156274,1.2138112812573294,1.524962991548788,0.05821553912927047,5.28841078927467,1.2338363922809555e-07,gh_last_D,,
covid_era,-0.01045577054412407,0.9895987010120462,0.8460291671934395,1.1575317105123124,0.079972282060257,-0.13074243068674624,0.895979065578845,gh_last_D,,
bloc_East Asian,-0.39220955637294286,0.675562530692678,0.5425419175926771,0.8411971832534688,0.1118777411875592,-3.5056978466826303,0.00045541189292738716,gh_last_D,,
bloc_Latin American,0.1443602667219744,1.1553002497933766,0.4795827049499391,2.783083404377483,0.44857101255430876,0.32182254912090785,0.7475871306215554,gh_last_D,,
